id,Geographic Area Name,Household median income
0500000US09013,"Tolland County, Connecticut",87809
0500000US09015,"Windham County, Connecticut",67365
0500000US10001,"Kent County, Delaware",60117
0500000US10003,"New Castle County, Delaware",75275
0500000US10005,"Sussex County, Delaware",64905
0500000US11001,"District of Columbia, District of Columbia",90842
0500000US12001,"Alachua County, Florida",50089
0500000US12003,"Baker County, Florida",62299
0500000US12005,"Bay County, Florida",56483
0500000US12007,"Bradford County, Florida",43580
0500000US12009,"Brevard County, Florida",59359
0500000US12011,"Broward County, Florida",60922
0500000US12013,"Calhoun County, Florida",38037
0500000US12015,"Charlotte County, Florida",52724
0500000US12017,"Citrus County, Florida",45689
0500000US12019,"Clay County, Florida",68657
0500000US12021,"Collier County, Florida",70217
0500000US12023,"Columbia County, Florida",44818
0500000US12027,"DeSoto County, Florida",36360
0500000US12029,"Dixie County, Florida",41674
0500000US12031,"Duval County, Florida",56769
0500000US12033,"Escambia County, Florida",53023
0500000US12035,"Flagler County, Florida",57536
0500000US12037,"Franklin County, Florida",48814
0500000US12039,"Gadsden County, Florida",41135
0500000US12041,"Gilchrist County, Florida",47381
0500000US12043,"Glades County, Florida",39709
0500000US12045,"Gulf County, Florida",50640
0500000US12047,"Hamilton County, Florida",38300
0500000US12049,"Hardee County, Florida",40165
0500000US12051,"Hendry County, Florida",36978
0500000US12053,"Hernando County, Florida",50280
0500000US12055,"Highlands County, Florida",43708
0500000US12057,"Hillsborough County, Florida",60566
0500000US12059,"Holmes County, Florida",39215
0500000US12061,"Indian River County, Florida",57945
0500000US12063,"Jackson County, Florida",40754
0500000US12065,"Jefferson County, Florida",49081
0500000US12067,"Lafayette County, Florida",51734
0500000US12069,"Lake County, Florida",55792
0500000US12071,"Lee County, Florida",59608
0500000US12073,"Leon County, Florida",54675
0500000US12075,"Levy County, Florida",38951
0500000US12077,"Liberty County, Florida",39121
0500000US12079,"Madison County, Florida",35240
0500000US12081,"Manatee County, Florida",59963
0500000US12083,"Marion County, Florida",46587
0500000US12085,"Martin County, Florida",65821
0500000US12086,"Miami-Dade County, Florida",53975
0500000US12087,"Monroe County, Florida",72012
0500000US12089,"Nassau County, Florida",72998
0500000US12091,"Okaloosa County, Florida",64373
0500000US12093,"Okeechobee County, Florida",46097
0500000US12095,"Orange County, Florida",61416
0500000US12097,"Osceola County, Florida",55538
0500000US12099,"Palm Beach County, Florida",65015
0500000US12101,"Pasco County, Florida",53431
0500000US12103,"Pinellas County, Florida",56419
0500000US12105,"Polk County, Florida",51535
0500000US12107,"Putnam County, Florida",40068
0500000US12109,"St. Johns County, Florida",83803
0500000US12111,"St. Lucie County, Florida",55237
0500000US12113,"Santa Rosa County, Florida",70663
0500000US12115,"Sarasota County, Florida",64644
0500000US12117,"Seminole County, Florida",70297
0500000US12119,"Sumter County, Florida",59618
0500000US12121,"Suwannee County, Florida",46280
0500000US12123,"Taylor County, Florida",38295
0500000US12125,"Union County, Florida",55139
0500000US12127,"Volusia County, Florida",52407
0500000US12129,"Wakulla County, Florida",67480
0500000US12131,"Walton County, Florida",67390
0500000US12133,"Washington County, Florida",37260
0500000US13001,"Appling County, Georgia",37924
0500000US13003,"Atkinson County, Georgia",35703
0500000US13005,"Bacon County, Georgia",36692
0500000US13007,"Baker County, Georgia",34034
0500000US13009,"Baldwin County, Georgia",46250
0500000US13011,"Banks County, Georgia",50912
0500000US13013,"Barrow County, Georgia",62990
0500000US13015,"Bartow County, Georgia",61226
0500000US13017,"Ben Hill County, Georgia",32077
0500000US13019,"Berrien County, Georgia",42089
0500000US13021,"Bibb County, Georgia",41317
0500000US13023,"Bleckley County, Georgia",46992
0500000US13025,"Brantley County, Georgia",34679
